Index,Title,Company,Date,Location,Job Category
161,Social Media & Sales Associ,e (E-commerce & Retail),26-Feb-26,Abuja,Technology
162,Marketing / Business Development Executive,Skipper Eye-Q Hospital,26-Feb-26,Abuja,Finance
163,Executive Secretary,Nigerian Society of Engineers,26-Feb-26,Abuja,Management
164,Housekeep Supervisor,Residency Hotels Limited,26-Feb-26,Abuja,Operations
165,Country Context Expert Consultant,Management Sciences For Health - MSH,26-Feb-26,Abuja,Management
166,IT Assistant - Abuja,The Place,26-Feb-26,Abuja,Technology
167,Locum Clinical Service Provider,MSI Reproductive Choices,26-Feb-26,Abuja,Medical
168,Mechanical Engineer,ROCAD Construction Limited,26-Feb-26,Abuja,Engineer
169,Finance & Oper,ions Director,26-Feb-26,Abuja,Finance
170,Corpor,e Sales Branch Head,26-Feb-26,Abuja,Management
171,Zonal Sales Manager,Prudential Zenith Life Insurance,26-Feb-26,Abuja,Management
172,Marketing and Communic,"ions Intern, Abuja",26-Feb-26,Abuja,Operations
173,Senior Network Engineer,Phase3 Telecom,26-Feb-26,Abuja,Technology
174,"General Manager, Ground Oper",ions,26-Feb-26,Abuja,Management
175,Program Assistant,Bill And Melinda G,26-Feb-26,Abuja,Operations
176,Senior Sales Executive | B2B Power Solutions,JMG,26-Feb-26,Abuja,Management
177,Multimedia News Presenter & Digital Content Producer,News Maximum Ltd,26-Feb-26,Abuja,Technology
178,Corpor,e Str,26-Feb-26,Abuja,Management
179,Experience Sales Executive(Port Harcourt),Sabaplus Consultancy Services,02-Mar-26,Rivers,Management
180,Flight Disp,cher,02-Mar-26,Rivers,Operations
181,Assistant Flight Disp,cher,02-Mar-26,Rivers,Operations
182,Admin Officer,Sabaplus Consultancy Services,02-Mar-26,Rivers,Operations
183,Sales Executive,Edves Digital Educ,02-Mar-26,Rivers,Finance
184,Media Sales Expert,Vastovers Group,02-Mar-26,Rivers,Medical
185,Marketing Manager,Shawsand Medical Centre,02-Mar-26,Rivers,Management
186,Billing / Accounts Officer,Shawsand Medical Centre,02-Mar-26,Rivers,Finance
187,Radiographer,Shawsand Medical Centre,02-Mar-26,Rivers,Medical
188,Bike Sales Representative,,02-Mar-26,Rivers,Finance
189,Marine Superintendent Engineer (Offshore),MacTay Consulting,28-Feb-26,Rivers,Engineer
190,"Customer Service, Front Desk Personnel",Lily Hospitals Limited,28-Feb-26,Rivers,Customer Service
191,Sales Canvasser,Vastovers Group,28-Feb-26,Rivers,Finance
192,Medical Labor,ory Technician,28-Feb-26,Rivers,Medical
193,Assets Supervision,Oilserv Limited,28-Feb-26,Rivers,Finance
194,Account Manager,Cen Global Services Limited,28-Feb-26,Rivers,Management
195,Head of Internal Audit,Cen Global Services Limited,28-Feb-26,Rivers,Management
196,Head of Retail,Cen Global Services Limited,28-Feb-26,Rivers,Management
197,Chief Commercial Officer,Cen Global Services Limited,28-Feb-26,Rivers,Management
198,FTTH Project Site Engineer,ZTE Devices,28-Feb-26,Rivers,Technology
199,Senior Sales Executive (Rivers),Simba Group,27-Feb-26,Rivers,Management
200,Store / Inventory Officer,Vagan Oil & Gas Limited,27-Feb-26,Rivers,Operations
201,Field Service Manager,Daystar Power Energy Solution,27-Feb-26,Rivers,Operations
202,Fleet Worker (Auto Mechanic) Port Harcourt,Coca-Cola,27-Feb-26,Rivers,Engineer
203,Human Resources Assistant,Cen Global Services Limited,27-Feb-26,Rivers,Customer Service
204,Management Accountant,Starzs Investment Company Limited (SICL),27-Feb-26,Rivers,Management
205,Regional Business Development Officer (Rivers),The African Medical Centre of Excellence (AMCE),27-Feb-26,Rivers,Finance
206,Sales Agents,PalmPay,27-Feb-26,Rivers,Finance
207,Contracts Specialist,Oilserv Limited,27-Feb-26,Rivers,Finance
208,Sales Account Manager - Medical Devices,Roche,27-Feb-26,Rivers,Management
209,"HRBP & ER/IR, Employee Communic",ions Manager,27-Feb-26,Rivers,Finance
210,"Senior HRBP/Performance, Reward & HR Services Manager M/F",BOURBON Oil & Gas,27-Feb-26,Rivers,Management
211,MHC Electrical Technician,APM Terminals,27-Feb-26,Rivers,Engineer
212,Civil Engineer (Asaba/Port-harcourt),Alpha Mead Group,27-Feb-26,Rivers,Engineer
213,Media and Branding Officer,Cen Global Services Limited,26-Feb-26,Rivers,Operations
214,CFR D,a Analyst and D,26-Feb-26,Rivers,Technology
215,Sales Account Manager - Near P,ient Care,26-Feb-26,Rivers,Management
216,Sales Agent,PalmPay,26-Feb-26,Rivers,Finance
217,Junior Compressor Technician,WTS Energy,26-Feb-26,Rivers,Engineer
218,Civil & Structural Engineer,WTS Energy,26-Feb-26,Rivers,Engineer
219,Locum Clinical Service Provider,MSI Reproductive Choices,26-Feb-26,Rivers,Medical
220,Zonal Sales Manager,Prudential Zenith Life Insurance,26-Feb-26,Rivers,Management
221,Planning Engineer (Oper,ions) - Specializ,26-Feb-26,Rivers,Engineer
222,Commissioning Engineer,Montego Upstream Services Limited,26-Feb-26,Rivers,Engineer
223,Project Planning Engineer,Montego Upstream Services Limited,26-Feb-26,Rivers,Engineer
224,QA/QC Engineer,Montego Upstream Services Limited,26-Feb-26,Rivers,Engineer
225,Piping Design Lead,Montego Upstream Services Limited,26-Feb-26,Rivers,Management
226,Senior Business Development Manager,Felton Energy Services Ltd (FESL),26-Feb-26,Rivers,Management
227,"Medical Lab, Disp",ch Rider,26-Feb-26,Rivers,Medical
228,Retail Sales Executive,SKLD integr,26-Feb-26,Rivers,Management
229,Business Development Executive,JC Intern,26-Feb-26,Rivers,Management
230,Field Oper,or I,26-Feb-26,Rivers,Operations
231,Maintenance Supervisor - Instrument,ion,25-Feb-26,Rivers,Management
232,Valve Maintenance / Repair Technician,Mao-Oak Resources Ltd,25-Feb-26,Rivers,Engineer
233,(DST) Oper,ions Engineer,25-Feb-26,Rivers,Engineer
234,Administr,ive Manager,25-Feb-26,Rivers,Operations
