,Title,Date,Location

48,Digital Marketing Specialist at Krystal Digital Solutions Limited,27 February-2026,Abuja
49,"Officer, Management Support and Operations at Evidence Action",27 February-2026,Abuja
50,"Officer, People & Culture at Evidence Action",27 February-2026,Abuja
51,Social Media Manger & Content Creator at a Reputable Company,27 February-2026,Abuja
52,Administrative Assistant (Protocol) at Food and Agriculture Organization Of the United Nations,27 February-2026,Abuja
53,Country Operations Technical Project Advisor I at Population Services International (PSI),27 February-2026,Abuja
54,Admin & Logistics Specialist at TechnoServe,27 February-2026,Abuja
55,Sales Director - Business Banking (Abuja) at FairMoney,27 February-2026,Abuja
56,Senior Mercedes - Benz Technician at ABM Tek Limited,27 February-2026,Abuja
57,Accountant at Resurgir Consulting,27 February-2026,Abuja
58,Supermarket Manager at Resurgir Consulting,27 February-2026,Abuja
59,Supermarket Supervisor at Resurgir Consulting,27 February-2026,Abuja
60,Deputy Registrar at Prime University Abuja,27 February-2026,Abuja
61,Legal Intern (NYSC) at Naji Realties,27 February-2026,Abuja
62,Senior HR Officer - Resourcing at Malaria Consortium,27 February-2026,Abuja
63,"Education Officer, NOA, Abuja at UNICEF",27 February-2026,Abuja
64,Customer Service Officer at Fort Knox Group,27 February-2026,Abuja
65,Sales Canvasser/ Medical Sales Rep at ComfortCare Pharmaceutical ltd,27 February-2026,Abuja
66,"Billing Officer, Geochemical Lab – Abuja at boQS Ltd",27 February-2026,Abuja
67,Maintenance Technician at a Geochemical Laboratory – Abuja at boQS Ltd,27 February-2026,Abuja
68,Cook at Primly Premium Solutions Ltd,26 February-2026,Abuja
69,Waitress at Class Suites Hotels & Apartments,26 February-2026,Abuja
70,Prefabricated House Installer at Stellar Group,26 February-2026,Abuja
71,Production & Sales Associate (E-commerce & Retail) at The Garment Factory,26 February-2026,Abuja
72,Social Media & Sales Associate (E-commerce & Retail) at The Garment Factory,26 February-2026,Abuja
73,Marketing / Business Development Executive at Skipper Eye-Q Hospital,26 February-2026,Abuja
74,Executive Secretary at Nigerian Society of Engineers,26 February-2026,Abuja
75,Housekeep Supervisor at Residency Hotels Limited,26 February-2026,Abuja
76,Country Context Expert Consultant at Management Sciences For Health - MSH,26 February-2026,Abuja
77,IT Assistant - Abuja at The Place,26 February-2026,Abuja
78,Locum Clinical Service Provider at MSI Reproductive Choices,26 February-2026,Abuja
79,Mechanical Engineer at ROCAD Construction Limited,26 February-2026,Abuja
80,Finance & Operations Director at CARE International,26 February-2026,Abuja
81,Corporate Sales Branch Head at Prudential Zenith Life Insurance,26 February-2026,Abuja
82,Zonal Sales Manager at Prudential Zenith Life Insurance,26 February-2026,Abuja
83,"Marketing and Communications Intern, Abuja at British Council",26 February-2026,Abuja
84,Senior Network Engineer at Phase3 Telecom,26 February-2026,Abuja
85,"General Manager, Ground Operations at United Nigeria Airlines",26 February-2026,Abuja
86,Program Assistant at Bill And Melinda Gates Foundation,26 February-2026,Abuja
87,Senior Sales Executive | B2B Power Solutions at JMG,26 February-2026,Abuja
88,Multimedia News Presenter & Digital Content Producer at News Maximum Ltd,26 February-2026,Abuja
89,Corporate Strategy and Planning Officer at Eta-Zuma Group W/A Limited,26 February-2026,Abuja
,Title,Date,Location
0,Experience Sales Executive(Port Harcourt) at Sabaplus Consultancy Services,02 March-2026,Rivers
1,Flight Dispatcher at Air Peace,02 March-2026,Rivers
2,Assistant Flight Dispatcher at Air Peace,02 March-2026,Rivers
3,Admin Officer at Sabaplus Consultancy Services,02 March-2026,Rivers
4,Sales Executive at Edves Digital Education,02 March-2026,Rivers
5,Media Sales Expert at Vastovers Group,02 March-2026,Rivers
6,Marketing Manager at Shawsand Medical Centre,02 March-2026,Rivers
7,Billing / Accounts Officer at Shawsand Medical Centre,02 March-2026,Rivers
8,Radiographer at Shawsand Medical Centre,02 March-2026,Rivers
9,Bike Sales Representative at Kels Global Ventures,02 March-2026,Rivers
10,Marine Superintendent Engineer (Offshore) at MacTay Consulting,28 February-2026,Rivers
11,"Customer Service, Front Desk Personnel at Lily Hospitals Limited",28 February-2026,Rivers
12,Sales Canvasser at Vastovers Group,28 February-2026,Rivers
13,Medical Laboratory Technician at PEPHLA Global Nigeria Limited,28 February-2026,Rivers
14,Assets Supervision at Oilserv Limited,28 February-2026,Rivers
15,Account Manager at Cen Global Services Limited,28 February-2026,Rivers
16,Head of Internal Audit at Cen Global Services Limited,28 February-2026,Rivers
17,Head of Retail at Cen Global Services Limited,28 February-2026,Rivers
18,Chief Commercial Officer at Cen Global Services Limited,28 February-2026,Rivers
19,FTTH Project Site Engineer at ZTE Devices,28 February-2026,Rivers
20,Senior Sales Executive (Rivers) at Simba Group,27 February-2026,Rivers
21,Store / Inventory Officer at Vagan Oil & Gas Limited,27 February-2026,Rivers
22,Field Service Manager at Daystar Power Energy Solution,27 February-2026,Rivers
23,Fleet Worker (Auto Mechanic) Port Harcourt at Coca-Cola,27 February-2026,Rivers
24,Human Resources Assistant at Cen Global Services Limited,27 February-2026,Rivers
25,Management Accountant at Starzs Investment Company Limited (SICL),27 February-2026,Rivers
26,Regional Business Development Officer (Rivers) at The African Medical Centre of Excellence (AMCE),27 February-2026,Rivers
27,Sales Agents at PalmPay,27 February-2026,Rivers
28,Contracts Specialist at Oilserv Limited,27 February-2026,Rivers
29,Sales Account Manager - Medical Devices at Roche,27 February-2026,Rivers
30,"HRBP & ER/IR, Employee Communications Manager at BOURBON Oil & Gas",27 February-2026,Rivers
31,"Senior HRBP/Performance, Reward & HR Services Manager M/F at BOURBON Oil & Gas",27 February-2026,Rivers
32,MHC Electrical Technician at APM Terminals,27 February-2026,Rivers
33,Civil Engineer (Asaba/Port-harcourt) at Alpha Mead Group,27 February-2026,Rivers
34,Media and Branding Officer at Cen Global Services Limited,26 February-2026,Rivers
35,CFR Data Analyst and Database Administrator at Amaiden Energy Nigeria,26 February-2026,Rivers
36,Sales Account Manager - Near Patient Care at Roche,26 February-2026,Rivers
37,Sales Agent at PalmPay,26 February-2026,Rivers
38,Junior Compressor Technician at WTS Energy,26 February-2026,Rivers
39,Civil & Structural Engineer at WTS Energy,26 February-2026,Rivers
40,Locum Clinical Service Provider at MSI Reproductive Choices,26 February-2026,Rivers
41,Zonal Sales Manager at Prudential Zenith Life Insurance,26 February-2026,Rivers
42,Planning Engineer (Operations) - Specialization (Reliability) at Vagan Oil & Gas Limited,26 February-2026,Rivers
43,Commissioning Engineer at Montego Upstream Services Limited,26 February-2026,Rivers
44,Project Planning Engineer at Montego Upstream Services Limited,26 February-2026,Rivers
45,QA/QC Engineer at Montego Upstream Services Limited,26 February-2026,Rivers
46,Piping Design Lead at Montego Upstream Services Limited,26 February-2026,Rivers
47,Senior Business Development Manager at Felton Energy Services Ltd (FESL),26 February-2026,Rivers
48,"Medical Lab, Dispatch Rider at PEPHLA Global Nigeria Limited",26 February-2026,Rivers
49,Retail Sales Executive at SKLD integrated Services LLC,26 February-2026,Rivers
50,Business Development Executive at JC International,26 February-2026,Rivers
51,Field Operator I at Nautilus Nigeria Engineering and Construction Limited,26 February-2026,Rivers
52,Maintenance Supervisor - Instrumentation at Amaiden Energy Nigeria,25 February-2026,Rivers
53,Valve Maintenance / Repair Technician at Mao-Oak Resources Ltd,25 February-2026,Rivers
54,(DST) Operations Engineer at Amaiden Energy Nigeria,25 February-2026,Rivers
55,Administrative Manager at SOW Real Estate Limited,25 February-2026,Rivers
56,Human Resources Manager at SOW Real Estate Limited,25 February-2026,Rivers
57,Maintenance Engineer – Lifting & Rotating Equipment at Oilserv Limited,25 February-2026,Rivers
58,Maintenance Engineer – Portable Equipment & Power Systems at Oilserv Limited,25 February-2026,Rivers
59,Corporate Secretariat Associate at Proten,25 February-2026,Rivers
60,Talent Recruitment Manager at Proten,25 February-2026,Rivers
61,Chartered Accountant at Proten,25 February-2026,Rivers
62,Sales Executive at Mshel Homes Ltd,25 February-2026,Rivers
63,Welding Inspectors at Jimcol Resources Nigeria Limited,25 February-2026,Rivers
64,Painting Inspectors at Jimcol Resources Nigeria Limited,25 February-2026,Rivers
65,API Inspectors at Jimcol Resources Nigeria Limited,25 February-2026,Rivers
66,Radiation Safety Officer at Jimcol Resources Nigeria Limited,25 February-2026,Rivers
67,Radiographers at Jimcol Resources Nigeria Limited,25 February-2026,Rivers
68,Structural Engineers at Jimcol Resources Nigeria Limited,25 February-2026,Rivers
69,ACFM Inspectors at Jimcol Resources Nigeria Limited,25 February-2026,Rivers
70,Structural Inspectors at Jimcol Resources Nigeria Limited,25 February-2026,Rivers
71,Cathodic Protection (CP) Inspectors at Jimcol Resources Nigeria Limited,25 February-2026,Rivers
72,Sales Manager at BLUETTI,25 February-2026,Rivers
73,Offshore Construction Supervisor at International Energy Services Limited (IESL),25 February-2026,Rivers
74,Electrical Project/Maintenance Engineer at Basscomm Group Limited,25 February-2026,Rivers
75,Production Support Officer - Port Harcourt at Food Concepts Plc,24 February-2026,Rivers
76,Business Development Officer at HiiT Plc,24 February-2026,Rivers
77,Instrumentation Design Engineer at Waal Energy Services Limited,24 February-2026,Rivers
78,Technical Trainee:Control and Automation - Port Harcourt at International Breweries,24 February-2026,Rivers
79,Product Support Sales Representative at Mantrac Nigeria Ltd,24 February-2026,Rivers
80,Subcontract Administrator at Desicon Engineering Limited,24 February-2026,Rivers
81,Store and Inventory Officer at Excel and Grace Consulting,24 February-2026,Rivers
82,Personal Driver at Odixcity Consulting,23 February-2026,Rivers
83,Rental Manager at Jocaro Nigeria Limited,23 February-2026,Rivers
84,Marketing Executive (State Representative) at Schulup Limited,23 February-2026,Rivers
85,Loan Sales and Marketing Officers at Motion Yield Nigeria Limited,23 February-2026,Rivers
86,Forklift Operator at DRYVA Logistics,23 February-2026,Rivers
87,Internal Audit & Controls Intern at DRYVA Logistics,23 February-2026,Rivers
88,Warehouse Operations / Data Analytics Intern at DRYVA Logistics,23 February-2026,Rivers
89,Pipeline Welder Facilitator at Dexterous Applied Training Institute (DATI),23 February-2026,Rivers

